frame_id,time_s,team,n,compactness_m,width_m,depth_m,line_height_m,control_pct,pressing_m
12,1.44,0,10,11.75,34.79,25.18,53.62,37.0,4.78
12,1.44,1,9,15.46,40.4,29.67,58.24,63.0,4.78
13,1.56,0,10,11.8,35.42,25.14,53.76,25.6,5.12
13,1.56,1,10,15.89,45.06,29.64,58.99,74.4,5.12
14,1.68,0,10,11.89,35.71,25.1,53.9,25.8,5.13
14,1.68,1,10,15.89,45.1,29.59,59.1,74.2,5.13
15,1.8,0,10,12.24,35.57,27.02,53.48,30.0,5.18
15,1.8,1,9,16.61,43.43,31.81,57.75,70.0,5.18
16,1.92,0,10,12.25,35.79,26.95,53.69,29.5,5.2
16,1.92,1,9,16.52,43.06,31.58,57.92,70.5,5.2
17,2.04,0,10,12.11,34.98,26.98,53.78,29.8,5.43
17,2.04,1,9,16.58,43.13,31.54,58.03,70.2,5.43
18,2.16,0,9,12.85,35.59,27.11,53.26,25.3,5.7
18,2.16,1,10,16.42,42.83,31.44,59.44,74.7,5.7
19,2.28,0,9,12.97,36.23,27.04,53.45,27.7,5.74
19,2.28,1,10,16.36,42.86,31.25,59.52,72.3,5.74
20,2.4,0,9,13.0,35.67,27.13,53.62,27.3,5.87
20,2.4,1,10,16.45,43.71,31.07,59.65,72.7,5.87
21,2.52,0,9,13.03,36.02,27.27,53.77,27.5,5.94
21,2.52,1,10,16.45,43.3,31.05,59.7,72.5,5.94
22,2.64,0,9,13.18,36.38,27.38,53.86,28.0,5.8
22,2.64,1,10,16.45,43.16,31.01,59.71,72.0,5.8
23,2.76,0,9,13.19,35.96,27.57,53.97,28.4,5.68
23,2.76,1,10,16.49,43.77,30.74,59.76,71.6,5.68
24,2.88,0,9,13.36,37.01,27.79,54.03,32.8,5.66
24,2.88,1,10,16.23,44.28,30.36,59.94,67.2,5.66
25,3.0,0,9,13.47,37.02,28.0,53.98,36.4,5.59
25,3.0,1,10,16.17,44.38,30.19,59.95,63.6,5.59
26,3.12,0,9,13.53,36.93,28.23,53.93,37.7,5.62
26,3.12,1,10,16.22,44.62,30.1,59.89,62.3,5.62
27,3.24,0,9,13.69,37.25,28.58,53.83,42.8,5.65
27,3.24,1,10,16.24,45.29,30.06,59.82,57.2,5.65
28,3.36,0,9,13.72,37.34,28.66,53.78,44.5,5.68
28,3.36,1,10,16.1,45.0,29.9,59.8,55.5,5.68
29,3.48,0,9,13.72,37.08,28.72,53.77,45.8,5.68
29,3.48,1,10,16.07,45.13,29.74,59.83,54.2,5.68
30,3.6,0,9,13.99,37.18,28.97,51.07,48.6,5.73
30,3.6,1,10,16.23,45.41,29.96,57.26,51.4,5.73
31,3.72,0,8,12.84,36.9,24.66,48.53,41.9,6.49
31,3.72,1,9,16.03,44.81,29.22,55.45,58.1,6.49
32,3.84,0,8,13.51,37.67,29.95,49.03,61.1,7.37
32,3.84,1,9,16.06,45.38,29.41,55.29,38.9,7.37
33,3.96,0,8,13.56,37.27,29.94,48.86,62.7,7.94
33,3.96,1,8,16.38,45.78,29.61,53.53,37.3,7.94
34,4.08,0,8,13.66,37.92,30.09,48.64,62.0,8.05
34,4.08,1,8,16.48,46.09,30.01,53.24,38.0,8.05
35,4.2,0,7,12.15,37.82,11.03,45.42,43.9,7.54
35,4.2,1,8,16.54,46.52,30.14,53.03,56.1,7.54
36,4.32,0,7,12.03,37.0,11.07,45.21,43.0,7.44
36,4.32,1,8,16.39,45.67,30.28,52.72,57.0,7.44
37,4.44,0,7,11.96,36.56,11.4,44.98,42.7,6.34
37,4.44,1,7,15.46,45.39,22.53,49.88,57.3,6.34
38,4.56,0,7,11.97,36.44,12.18,44.85,42.0,6.31
38,4.56,1,7,15.41,45.14,22.62,49.63,58.0,6.31
39,4.68,0,7,11.87,35.85,12.85,44.78,41.2,7.1
39,4.68,1,8,16.1,44.44,29.77,51.83,58.8,7.1
40,4.8,0,9,13.03,35.74,29.05,48.02,45.3,6.02
40,4.8,1,9,16.76,44.9,30.8,53.57,54.7,6.02
41,4.92,0,9,13.11,35.5,29.33,47.99,44.1,6.12
41,4.92,1,10,16.32,45.02,30.91,54.63,55.9,6.12
42,5.04,0,9,13.28,35.75,29.66,48.05,44.4,6.1
42,5.04,1,10,16.33,44.98,30.88,54.56,55.6,6.1
43,5.16,0,9,13.36,35.68,29.85,48.21,46.2,6.42
43,5.16,1,9,17.35,44.86,30.83,54.31,53.8,6.42
44,5.28,0,9,13.43,35.73,30.01,48.32,47.0,6.49
44,5.28,1,9,17.34,44.86,30.76,54.42,53.0,6.49
45,5.4,0,9,13.7,35.44,31.58,48.07,66.2,7.12
45,5.4,1,8,17.39,44.33,32.46,52.43,33.8,7.12
46,5.52,0,9,13.53,35.19,25.0,47.53,55.0,7.83
46,5.52,1,7,17.1,30.04,32.56,55.84,45.0,7.83
47,5.64,0,6,12.08,30.85,17.15,45.55,53.4,8.48
47,5.64,1,7,17.01,29.85,32.45,56.11,46.6,8.48
48,5.76,0,7,13.61,30.5,24.61,48.12,58.6,6.47
48,5.76,1,6,16.43,27.07,32.61,54.0,41.4,6.47
49,5.88,0,6,14.94,30.15,24.08,47.97,42.5,6.39
49,5.88,1,8,17.34,44.63,32.59,53.08,57.5,6.39
50,6.0,0,6,13.97,33.25,17.95,44.41,43.4,8.26
50,6.0,1,10,16.62,44.45,32.58,55.49,56.6,8.26
51,6.12,0,8,14.18,32.75,32.24,48.24,46.1,6.28
51,6.12,1,10,16.57,44.31,32.63,55.48,53.9,6.28
52,6.24,0,7,15.71,32.12,32.23,48.08,44.7,6.07
52,6.24,1,10,16.61,45.51,32.88,55.38,55.3,6.07
53,6.36,0,7,15.68,32.35,32.25,48.05,44.5,6.04
53,6.36,1,10,16.53,45.54,33.03,55.37,55.5,6.04
54,6.48,0,7,15.69,32.54,32.26,47.96,44.8,5.91
54,6.48,1,10,16.43,45.15,32.95,55.29,55.2,5.91
55,6.6,0,7,12.32,32.43,18.88,45.0,44.1,8.41
55,6.6,1,11,16.29,45.3,32.95,56.46,55.9,8.41
56,6.72,0,7,12.25,32.46,18.87,44.97,43.6,8.34
56,6.72,1,11,16.27,45.86,32.98,56.41,56.4,8.34
57,6.84,0,7,12.12,32.38,18.7,44.96,43.0,8.28
57,6.84,1,11,16.14,45.85,33.04,56.32,57.0,8.28
58,6.96,0,7,12.01,32.51,18.47,44.94,43.6,8.35
58,6.96,1,11,15.96,46.23,33.09,56.22,56.4,8.35
59,7.08,0,6,10.57,32.46,12.84,43.19,42.0,10.06
59,7.08,1,11,15.94,46.02,33.21,56.15,58.0,10.06
60,7.2,0,6,10.5,32.16,12.57,41.02,38.3,10.05
60,7.2,1,11,15.95,45.94,33.42,53.99,61.7,10.05
61,7.32,0,7,12.47,32.22,20.77,43.14,39.7,8.54
61,7.32,1,11,15.97,45.96,33.44,53.9,60.3,8.54
62,7.44,0,7,12.38,32.17,20.63,43.19,39.1,8.42
62,7.44,1,11,15.92,45.7,33.52,53.84,60.9,8.42
63,7.56,0,8,13.98,32.0,39.46,39.85,39.4,9.0
63,7.56,1,11,15.87,45.56,33.55,53.76,60.6,9.0
64,7.68,0,8,13.94,31.71,39.45,39.88,39.2,9.06
64,7.68,1,11,15.9,46.03,33.54,53.65,60.8,9.06
65,7.8,0,7,12.21,31.76,20.48,43.34,36.6,8.31
65,7.8,1,11,15.89,46.34,33.6,53.57,63.4,8.31
66,7.92,0,8,12.84,31.87,23.84,45.28,37.0,6.9
66,7.92,1,11,16.01,46.4,33.46,53.4,63.0,6.9
67,8.04,0,8,12.72,31.59,23.73,45.23,37.0,6.86
67,8.04,1,11,15.95,45.82,33.4,53.17,63.0,6.86
68,8.16,0,7,14.1,31.6,23.65,45.0,35.0,6.75
68,8.16,1,11,15.97,46.08,33.44,53.02,65.0,6.75
69,8.28,0,7,13.19,31.51,23.55,44.19,33.3,6.51
69,8.28,1,11,16.02,46.26,33.37,52.89,66.7,6.51
70,8.4,0,8,13.75,31.19,23.24,45.66,33.6,6.43
70,8.4,1,11,16.07,46.16,33.45,52.79,66.4,6.43
71,8.52,0,8,13.66,31.49,23.14,45.65,33.6,6.45
71,8.52,1,11,16.13,46.45,33.3,52.74,66.4,6.45
72,8.64,0,8,13.62,31.18,22.92,45.72,32.5,6.45
72,8.64,1,11,16.09,46.27,33.16,52.69,67.5,6.45
73,8.76,0,8,13.5,30.89,22.51,45.73,28.7,6.33
73,8.76,1,11,16.24,46.66,33.83,52.57,71.2,6.33
74,8.88,0,8,13.46,31.06,22.36,45.75,27.5,6.34
74,8.88,1,11,16.3,46.6,33.93,52.52,72.5,6.34
75,9.0,0,9,15.34,31.78,43.99,43.16,38.0,7.48
75,9.0,1,11,16.46,47.81,33.19,53.42,62.0,7.48
76,9.12,0,8,13.56,31.38,21.8,46.63,31.1,6.7
76,9.12,1,11,16.43,47.76,33.07,53.38,68.9,6.7
77,9.24,0,8,13.72,31.65,21.59,46.53,30.5,6.87
77,9.24,1,11,16.39,47.6,32.97,53.35,69.5,6.87
78,9.36,0,9,15.23,31.8,43.96,43.35,37.0,7.56
78,9.36,1,11,16.47,47.84,33.14,53.34,63.0,7.56
79,9.48,0,8,13.55,31.51,21.11,46.76,30.5,6.89
79,9.48,1,11,16.48,48.21,32.96,53.35,69.5,6.89
80,9.6,0,9,12.25,31.37,20.93,47.11,30.8,7.03
80,9.6,1,11,16.52,48.4,32.84,53.33,69.2,7.03
81,9.72,0,8,13.42,31.17,20.94,46.84,30.5,6.96
81,9.72,1,11,16.49,48.07,32.7,53.37,69.5,6.96
82,9.84,0,9,15.15,32.31,43.5,43.53,38.0,7.78
82,9.84,1,11,16.5,48.12,32.7,53.42,62.0,7.78
83,9.96,0,9,14.98,31.73,43.44,43.61,37.0,7.89
83,9.96,1,11,16.59,48.64,32.67,53.5,63.0,7.89
84,10.08,0,9,14.95,31.93,43.25,43.71,37.2,7.91
84,10.08,1,11,16.65,48.99,32.7,53.57,62.8,7.91
85,10.2,0,8,13.33,32.49,20.48,47.09,31.4,7.11
85,10.2,1,11,16.59,48.55,32.15,53.68,68.6,7.11
86,10.32,0,8,13.33,32.95,20.36,47.06,33.1,7.0
86,10.32,1,11,16.58,48.34,32.14,53.72,66.9,7.0
87,10.44,0,8,13.43,33.65,20.28,47.09,33.8,7.0
87,10.44,1,11,16.69,49.42,32.37,53.84,66.2,7.0
88,10.56,0,8,13.49,33.96,20.03,47.12,33.6,6.98
88,10.56,1,11,16.76,49.43,32.48,53.9,66.4,6.98
89,10.68,0,9,14.99,33.69,42.45,43.81,38.0,7.79
89,10.68,1,11,16.87,50.0,32.71,53.91,62.0,7.79
90,10.8,0,10,13.96,34.48,41.32,44.11,38.9,7.61
90,10.8,1,11,16.74,49.14,32.73,53.63,61.1,7.61
91,10.92,0,10,13.99,34.57,41.06,44.06,38.3,7.52
91,10.92,1,11,16.83,49.77,32.69,53.63,61.7,7.52
92,11.04,0,10,14.08,35.49,41.05,43.92,38.9,7.57
92,11.04,1,11,16.85,49.8,32.77,53.65,61.1,7.57
93,11.16,0,10,14.06,35.77,41.13,43.84,39.1,7.56
93,11.16,1,11,16.98,50.05,32.95,53.66,60.9,7.56
94,11.28,0,10,14.07,35.72,41.0,43.77,39.1,7.57
94,11.28,1,11,17.08,49.89,33.05,53.66,60.9,7.57
95,11.4,0,10,14.1,35.6,40.83,43.67,38.9,7.6
95,11.4,1,11,17.1,49.99,33.3,53.67,61.1,7.6
96,11.52,0,10,14.07,36.16,40.91,43.53,39.5,7.57
96,11.52,1,11,17.14,50.38,33.09,53.7,60.5,7.57
97,11.64,0,9,12.68,36.61,20.0,46.3,36.4,6.82
97,11.64,1,11,17.27,50.43,33.11,53.7,63.6,6.82
98,11.76,0,9,12.71,36.0,20.33,46.24,36.4,7.0
98,11.76,1,11,17.34,50.25,32.99,53.77,63.6,7.0
99,11.88,0,10,14.1,36.29,41.65,43.27,40.3,7.78
99,11.88,1,11,17.44,50.51,32.96,53.79,59.7,7.78
100,12.0,0,10,14.24,36.75,41.79,43.2,40.3,7.83
100,12.0,1,11,17.44,50.19,32.95,53.86,59.7,7.83
101,12.12,0,10,14.17,36.91,41.99,43.16,40.6,7.99
101,12.12,1,11,17.64,50.49,32.84,53.92,59.4,7.99
102,12.24,0,9,13.57,36.75,40.04,41.23,41.1,8.62
102,12.24,1,11,17.78,50.89,32.73,53.97,58.9,8.62
103,12.36,0,10,14.25,37.01,42.57,43.0,40.9,8.21
