frame_id,time_s,track_id,team,role,x,y
4,0.48,5,-1,player,68.67,35.93
4,0.48,2,-1,player,62.93,57.42
4,0.48,6,-1,player,65.54,34.02
4,0.48,3,-1,player,71.93,29.62
4,0.48,4,-1,player,45.63,63.62
4,0.48,11,-1,player,71.31,44.68
4,0.48,14,-1,player,62.73,35.13
4,0.48,7,-1,player,54.58,27.95
4,0.48,12,-1,player,45.49,55.4
4,0.48,13,-1,player,61.95,34.91
4,0.48,9,-1,player,44.52,29.7
4,0.48,17,-1,player,53.38,34.41
4,0.48,15,-1,player,46.43,44.21
4,0.48,8,-1,player,46.28,41.12
4,0.48,1,-1,referee,72.83,67.95
4,0.48,10,-1,referee,60.73,43.22
4,0.48,16,-1,referee,43.05,-0.09
5,0.6,2,-1,player,63.04,57.83
5,0.6,4,-1,player,45.73,63.88
5,0.6,11,-1,player,71.06,45.0
5,0.6,5,-1,player,68.6,37.16
5,0.6,14,-1,player,62.66,35.71
5,0.6,3,-1,player,71.83,29.75
5,0.6,7,-1,player,54.41,27.96
5,0.6,12,-1,player,45.56,55.61
5,0.6,18,-1,player,70.69,27.61
5,0.6,13,-1,player,61.83,34.88
5,0.6,15,-1,player,46.38,44.52
5,0.6,9,-1,player,44.63,29.81
5,0.6,6,-1,player,65.77,34.64
5,0.6,8,-1,player,46.03,40.99
5,0.6,17,-1,player,53.31,34.99
5,0.6,1,-1,referee,72.8,67.79
5,0.6,10,-1,referee,60.62,43.07
5,0.6,16,-1,referee,43.08,-0.51
6,0.72,4,-1,player,45.87,64.07
6,0.72,7,-1,player,54.26,27.68
6,0.72,13,-1,player,61.7,35.78
6,0.72,2,-1,player,63.12,57.87
6,0.72,5,-1,player,68.73,35.81
6,0.72,14,-1,player,62.67,35.8
6,0.72,3,-1,player,71.82,29.67
6,0.72,11,-1,player,70.9,45.77
6,0.72,6,-1,player,66.1,34.81
6,0.72,12,-1,player,45.73,55.76
6,0.72,18,-1,player,70.61,27.91
6,0.72,15,-1,player,46.34,44.84
6,0.72,9,-1,player,44.73,30.05
6,0.72,19,-1,player,46.65,22.94
6,0.72,17,-1,player,53.35,35.34
6,0.72,8,-1,player,45.91,40.91
6,0.72,1,-1,referee,72.78,67.82
6,0.72,10,-1,referee,60.54,43.12
6,0.72,16,-1,referee,43.22,-1.03
7,0.84,2,-1,player,63.22,57.9
7,0.84,4,-1,player,46.13,64.19
7,0.84,5,-1,player,68.81,35.87
7,0.84,14,-1,player,62.59,36.64
7,0.84,3,-1,player,71.8,29.73
7,0.84,12,-1,player,45.98,56.28
7,0.84,6,-1,player,66.29,35.72
7,0.84,11,-1,player,70.75,45.82
7,0.84,13,-1,player,61.52,36.34
7,0.84,7,-1,player,54.1,27.6
7,0.84,18,-1,player,70.55,28.03
7,0.84,9,-1,player,44.84,30.42
7,0.84,19,-1,player,46.44,22.57
7,0.84,15,-1,player,46.35,45.36
7,0.84,17,-1,player,53.37,35.56
7,0.84,8,-1,player,45.76,40.94
7,0.84,1,-1,referee,72.75,67.86
7,0.84,10,-1,referee,60.4,42.82
7,0.84,16,-1,referee,43.26,-1.47
8,0.96,2,-1,player,63.31,58.2
8,0.96,4,-1,player,46.34,64.28
8,0.96,14,-1,player,62.5,37.53
8,0.96,5,-1,player,68.82,35.99
8,0.96,3,-1,player,71.83,29.85
8,0.96,13,-1,player,61.37,36.36
8,0.96,18,-1,player,70.48,28.14
8,0.96,21,-1,player,46.11,40.01
8,0.96,11,-1,player,70.46,46.53
8,0.96,9,-1,player,44.87,30.42
8,0.96,6,-1,player,66.48,36.03
8,0.96,12,-1,player,46.1,56.44
8,0.96,19,-1,player,46.31,22.54
8,0.96,7,-1,player,53.83,27.46
8,0.96,15,-1,player,46.3,45.62
8,0.96,22,-1,player,52.55,33.09
8,0.96,8,-1,player,45.58,41.06
8,0.96,17,-1,player,53.36,35.51
8,0.96,1,-1,referee,72.72,67.87
8,0.96,10,-1,referee,60.22,42.36
8,0.96,16,-1,referee,43.61,-0.22
9,1.08,2,-1,player,63.41,58.67
9,1.08,4,-1,player,46.59,64.4
9,1.08,14,-1,player,62.45,37.56
9,1.08,5,-1,player,68.88,35.96
9,1.08,3,-1,player,71.84,30.14
9,1.08,18,-1,player,70.43,28.02
9,1.08,6,-1,player,66.66,36.38
9,1.08,21,-1,player,46.15,40.2
9,1.08,9,-1,player,44.94,30.7
9,1.08,7,-1,player,53.67,27.58
9,1.08,13,-1,player,61.23,37.19
9,1.08,11,-1,player,70.25,47.08
9,1.08,12,-1,player,46.19,56.41
9,1.08,19,-1,player,46.21,22.43
9,1.08,8,-1,player,45.3,40.85
9,1.08,22,-1,player,52.38,32.86
9,1.08,17,-1,player,53.44,35.81
9,1.08,15,-1,player,46.3,45.87
9,1.08,1,-1,referee,72.72,67.78
9,1.08,10,-1,referee,60.1,42.38
9,1.08,16,-1,referee,43.63,-0.21
10,1.2,3,-1,player,71.88,30.28
10,1.2,2,-1,player,63.45,58.91
10,1.2,9,-1,player,45.02,30.94
10,1.2,4,-1,player,46.8,64.35
10,1.2,18,-1,player,70.4,28.2
10,1.2,7,-1,player,53.66,27.68
10,1.2,14,-1,player,62.43,38.25
10,1.2,21,-1,player,46.21,40.42
10,1.2,5,-1,player,68.88,36.0
10,1.2,11,-1,player,70.11,47.16
10,1.2,13,-1,player,60.99,37.7
10,1.2,6,-1,player,66.75,37.18
10,1.2,12,-1,player,46.52,57.03
10,1.2,22,-1,player,52.27,32.85
10,1.2,17,-1,player,53.55,36.16
10,1.2,19,-1,player,46.09,22.38
10,1.2,8,-1,player,45.29,41.29
10,1.2,15,-1,player,46.3,46.26
10,1.2,1,-1,referee,72.68,67.92
10,1.2,10,-1,referee,60.03,42.34
10,1.2,16,-1,referee,43.62,-0.69
11,1.32,2,-1,player,63.46,59.16
11,1.32,9,-1,player,45.1,31.07
11,1.32,7,-1,player,53.67,27.74
11,1.32,14,-1,player,62.46,38.65
11,1.32,6,-1,player,66.86,37.27
11,1.32,13,-1,player,60.88,37.78
11,1.32,22,-1,player,52.21,33.08
11,1.32,3,-1,player,71.92,30.49
11,1.32,5,-1,player,68.89,35.99
11,1.32,18,-1,player,70.4,28.26
11,1.32,21,-1,player,46.15,40.62
11,1.32,19,-1,player,45.98,22.18
11,1.32,17,-1,player,53.59,36.27
11,1.32,11,-1,player,70.09,47.14
11,1.32,12,-1,player,46.75,57.26
11,1.32,8,-1,player,45.28,41.44
11,1.32,15,-1,player,46.24,46.63
11,1.32,1,-1,referee,72.7,67.84
11,1.32,10,-1,referee,60.0,42.35
11,1.32,16,-1,referee,43.8,-1.03
12,1.44,2,1,player,63.57,59.41
12,1.44,13,0,player,60.75,38.69
12,1.44,22,1,player,52.17,32.93
12,1.44,3,1,player,72.03,30.48
12,1.44,11,1,player,70.08,47.15
12,1.44,14,1,player,62.49,38.71
12,1.44,21,0,player,46.23,40.89
12,1.44,7,0,player,53.59,27.76
12,1.44,18,0,player,70.43,28.44
12,1.44,8,1,player,45.15,41.13
12,1.44,12,0,player,46.95,57.2
12,1.44,6,0,player,67.0,38.31
12,1.44,5,1,player,68.95,36.12
12,1.44,9,0,player,45.25,31.37
12,1.44,19,0,player,46.13,22.41
12,1.44,15,0,player,46.26,46.78
12,1.44,17,0,player,53.61,36.48
12,1.44,4,1,player,47.33,64.24
12,1.44,23,1,player,42.36,23.84
12,1.44,1,-1,referee,72.67,67.99
12,1.44,10,-1,referee,59.81,42.11
12,1.44,16,-1,referee,44.03,-0.53
13,1.56,2,1,player,63.71,59.85
13,1.56,11,1,player,70.05,47.18
13,1.56,3,1,player,72.13,30.63
13,1.56,21,0,player,46.23,40.97
13,1.56,5,1,player,69.06,36.1
13,1.56,13,0,player,60.63,38.95
13,1.56,4,1,player,47.62,64.37
13,1.56,17,0,player,53.75,37.06
13,1.56,12,0,player,47.39,57.86
13,1.56,6,0,player,67.2,38.54
13,1.56,22,1,player,52.12,32.79
13,1.56,15,0,player,46.39,47.28
13,1.56,7,0,player,53.75,27.89
13,1.56,14,1,player,62.51,39.35
13,1.56,8,1,player,45.15,41.08
13,1.56,19,0,player,46.24,22.44
13,1.56,23,1,player,42.49,24.07
13,1.56,9,0,player,45.43,31.7
13,1.56,18,0,player,70.57,28.45
13,1.56,24,1,player,65.08,19.31
13,1.56,10,-1,referee,59.75,41.94
13,1.56,1,-1,referee,72.66,68.07
13,1.56,16,-1,referee,44.34,-0.33
14,1.68,2,1,player,63.81,59.91
14,1.68,9,0,player,45.64,31.69
14,1.68,11,1,player,70.16,47.48
14,1.68,3,1,player,72.31,30.77
14,1.68,15,0,player,46.44,47.53
14,1.68,17,0,player,53.86,36.97
14,1.68,5,1,player,69.18,36.23
14,1.68,21,0,player,46.41,41.23
14,1.68,7,0,player,53.91,27.91
14,1.68,24,1,player,64.95,19.18
14,1.68,19,0,player,46.33,22.37
14,1.68,14,1,player,62.61,40.1
14,1.68,4,1,player,47.85,64.28
14,1.68,23,1,player,42.72,24.35
14,1.68,22,1,player,52.2,32.78
14,1.68,6,0,player,67.38,38.79
14,1.68,8,1,player,45.18,40.98
14,1.68,12,0,player,47.74,58.08
14,1.68,18,0,player,70.74,28.64
14,1.68,13,0,player,60.58,39.76
14,1.68,10,-1,referee,59.79,42.15
14,1.68,1,-1,referee,72.74,67.98
14,1.68,16,-1,referee,44.36,-1.11
15,1.8,2,1,player,64.02,60.95
15,1.8,21,0,player,45.49,40.79
15,1.8,24,1,player,65.16,19.54
15,1.8,5,1,player,70.03,37.03
15,1.8,3,1,player,73.52,31.71
15,1.8,4,1,player,46.96,62.97
15,1.8,22,1,player,51.56,32.48
15,1.8,7,0,player,53.39,27.95
15,1.8,9,0,player,44.78,31.31
15,1.8,6,0,player,68.06,40.36
15,1.8,15,0,player,45.32,46.82
15,1.8,8,1,player,44.15,40.01
15,1.8,18,0,player,71.8,29.54
15,1.8,14,1,player,62.61,40.49
15,1.8,12,0,player,47.04,57.24
15,1.8,13,0,player,60.21,40.4
15,1.8,23,1,player,41.71,23.64
15,1.8,17,0,player,53.32,36.86
15,1.8,19,0,player,45.39,21.67
15,1.8,10,-1,referee,59.61,42.03
15,1.8,1,-1,referee,73.98,69.69
15,1.8,16,-1,referee,43.58,-1.01
16,1.92,2,1,player,64.14,61.16
16,1.92,9,0,player,45.09,31.65
16,1.92,14,1,player,62.68,40.87
16,1.92,22,1,player,51.75,32.4
16,1.92,21,0,player,45.55,40.99
16,1.92,8,1,player,44.27,39.85
16,1.92,5,1,player,70.21,37.08
16,1.92,17,0,player,53.55,37.37
16,1.92,19,0,player,45.72,22.12
16,1.92,3,1,player,73.75,31.8
16,1.92,6,0,player,68.24,40.95
16,1.92,23,1,player,42.17,24.45
16,1.92,4,1,player,47.18,62.6
16,1.92,12,0,player,47.55,57.91
16,1.92,7,0,player,53.54,27.94
16,1.92,15,0,player,45.45,47.24
16,1.92,24,1,player,65.12,19.54
16,1.92,18,0,player,72.04,29.68
16,1.92,13,0,player,60.19,40.24
16,1.92,1,-1,referee,74.01,69.58
16,1.92,10,-1,referee,59.62,42.05
16,1.92,16,-1,referee,43.88,-0.86
17,2.04,2,1,player,64.25,61.52
17,2.04,15,0,player,45.47,47.4
17,2.04,9,0,player,45.21,31.77
17,2.04,14,1,player,62.74,41.36
17,2.04,5,1,player,70.34,37.17
17,2.04,4,1,player,47.44,62.42
17,2.04,22,1,player,51.86,32.38
17,2.04,12,0,player,47.96,57.88
17,2.04,23,1,player,42.4,24.56
17,2.04,8,1,player,44.27,39.8
17,2.04,3,1,player,73.94,31.86
17,2.04,7,0,player,53.71,27.96
17,2.04,18,0,player,72.19,29.9
17,2.04,6,0,player,68.36,42.15
17,2.04,24,1,player,65.0,19.29
17,2.04,17,0,player,53.73,37.77
17,2.04,19,0,player,45.98,22.9
17,2.04,21,0,player,45.5,41.15
17,2.04,13,0,player,59.72,39.22
17,2.04,1,-1,referee,73.91,69.64
17,2.04,10,-1,referee,59.56,42.02
17,2.04,16,-1,referee,44.14,-0.77
18,2.16,25,1,player,71.28,49.45
18,2.16,2,1,player,64.33,62.04
18,2.16,15,0,player,45.58,47.68
18,2.16,12,0,player,48.39,58.31
18,2.16,4,1,player,47.53,62.05
18,2.16,24,1,player,64.98,19.22
18,2.16,3,1,player,74.07,32.26
18,2.16,5,1,player,70.45,37.43
18,2.16,22,1,player,51.96,32.62
18,2.16,23,1,player,42.63,24.54
18,2.16,6,0,player,68.54,42.48
18,2.16,8,1,player,44.37,39.87
18,2.16,18,0,player,72.34,29.91
18,2.16,17,0,player,53.82,37.69
18,2.16,7,0,player,53.9,28.06
18,2.16,9,0,player,45.23,31.94
18,2.16,14,1,player,62.79,41.34
18,2.16,19,0,player,45.99,22.72
18,2.16,21,0,player,45.57,41.31
18,2.16,10,-1,referee,59.56,42.09
18,2.16,1,-1,referee,73.92,69.72
18,2.16,16,-1,referee,44.37,-1.05
19,2.28,25,1,player,71.21,49.79
19,2.28,15,0,player,45.69,48.23
19,2.28,17,0,player,54.02,38.3
19,2.28,2,1,player,64.3,62.33
19,2.28,4,1,player,47.63,61.43
19,2.28,21,0,player,45.67,41.32
19,2.28,3,1,player,74.26,32.34
19,2.28,5,1,player,70.62,37.52
19,2.28,22,1,player,52.03,32.36
19,2.28,9,0,player,45.45,32.34
19,2.28,12,0,player,48.87,58.74
19,2.28,7,0,player,54.16,28.14
19,2.28,23,1,player,43.01,25.06
19,2.28,18,0,player,72.49,30.11
19,2.28,8,1,player,44.45,39.49
19,2.28,14,1,player,62.87,41.69
19,2.28,6,0,player,68.67,43.17
19,2.28,19,0,player,46.03,22.51
19,2.28,24,1,player,64.82,19.47
19,2.28,1,-1,referee,73.99,69.72
19,2.28,10,-1,referee,59.68,42.15
19,2.28,16,-1,referee,44.53,-1.15
20,2.4,25,1,player,71.2,50.92
20,2.4,2,1,player,64.22,62.81
20,2.4,22,1,player,52.23,32.64
20,2.4,3,1,player,74.43,32.55
20,2.4,4,1,player,47.89,61.27
20,2.4,5,1,player,70.79,37.82
20,2.4,6,0,player,68.82,44.28
20,2.4,14,1,player,63.0,42.16
20,2.4,15,0,player,45.65,48.27
20,2.4,24,1,player,64.83,19.1
20,2.4,21,0,player,45.8,41.46
20,2.4,18,0,player,72.67,30.31
20,2.4,17,0,player,54.23,38.69
20,2.4,12,0,player,49.23,58.73
20,2.4,23,1,player,43.36,25.11
20,2.4,8,1,player,44.56,39.17
20,2.4,19,0,player,46.3,23.06
20,2.4,9,0,player,45.54,32.41
20,2.4,7,0,player,54.33,28.07
20,2.4,1,-1,referee,74.1,69.8
20,2.4,10,-1,referee,59.59,42.08
20,2.4,16,-1,referee,44.83,-0.95
21,2.52,2,1,player,64.19,62.66
21,2.52,24,1,player,64.84,19.36
21,2.52,25,1,player,71.43,50.15
21,2.52,22,1,player,52.36,32.78
21,2.52,12,0,player,49.76,59.21
21,2.52,18,0,player,72.88,30.47
21,2.52,15,0,player,45.66,48.57
21,2.52,5,1,player,70.95,37.83
21,2.52,9,0,player,45.61,32.41
21,2.52,4,1,player,48.01,60.85
21,2.52,14,1,player,63.01,42.43
21,2.52,3,1,player,74.56,32.74
21,2.52,6,0,player,68.95,44.34
21,2.52,7,0,player,54.55,28.56
21,2.52,17,0,player,54.29,38.59
21,2.52,21,0,player,45.85,41.72
21,2.52,19,0,player,46.36,23.19
21,2.52,23,1,player,43.51,24.5
21,2.52,8,1,player,44.1,36.7
21,2.52,1,-1,referee,74.19,69.69
21,2.52,10,-1,referee,59.41,41.98
21,2.52,16,-1,referee,45.08,-0.99
22,2.64,2,1,player,64.02,62.9
22,2.64,12,0,player,50.12,59.73
22,2.64,25,1,player,71.54,50.25
22,2.64,15,0,player,45.71,48.91
22,2.64,9,0,player,45.67,32.53
22,2.64,4,1,player,48.15,60.52
22,2.64,5,1,player,71.05,37.95
22,2.64,14,1,player,62.96,42.41
22,2.64,22,1,player,52.35,32.92
22,2.64,7,0,player,54.69,28.6
22,2.64,19,0,player,46.5,23.35
22,2.64,3,1,player,74.67,32.75
22,2.64,18,0,player,73.05,30.59
22,2.64,6,0,player,68.97,45.46
22,2.64,24,1,player,64.7,19.74
22,2.64,17,0,player,54.39,39.03
22,2.64,8,1,player,43.99,35.81
22,2.64,21,0,player,45.68,41.8
22,2.64,23,1,player,43.66,24.32
22,2.64,1,-1,referee,74.15,69.73
22,2.64,10,-1,referee,59.35,42.06
22,2.64,16,-1,referee,45.22,-0.97
23,2.76,12,0,player,50.34,59.92
23,2.76,3,1,player,74.68,32.84
23,2.76,25,1,player,71.66,50.25
23,2.76,15,0,player,45.65,48.99
23,2.76,2,1,player,63.91,63.16
23,2.76,14,1,player,62.95,43.27
23,2.76,24,1,player,64.65,19.39
23,2.76,6,0,player,69.03,46.13
23,2.76,4,1,player,48.27,60.11
23,2.76,7,0,player,54.87,28.79
23,2.76,17,0,player,54.51,39.43
23,2.76,19,0,player,46.67,23.96
23,2.76,18,0,player,73.22,30.7
23,2.76,23,1,player,43.94,24.67
23,2.76,22,1,player,52.4,32.87
23,2.76,5,1,player,71.13,38.07
23,2.76,21,0,player,45.78,42.15
23,2.76,9,0,player,45.67,32.69
23,2.76,8,1,player,44.0,35.51
23,2.76,1,-1,referee,74.1,69.86
23,2.76,10,-1,referee,59.31,42.25
23,2.76,16,-1,referee,45.46,-1.11
24,2.88,25,1,player,71.86,50.46
24,2.88,12,0,player,50.68,60.79
24,2.88,3,1,player,74.83,32.93
24,2.88,22,1,player,52.43,33.06
24,2.88,15,0,player,45.83,49.62
24,2.88,6,0,player,69.08,46.13
24,2.88,2,1,player,63.59,63.56
24,2.88,17,0,player,54.57,39.51
24,2.88,19,0,player,46.55,23.78
24,2.88,5,1,player,71.26,38.05
24,2.88,24,1,player,64.61,19.28
24,2.88,4,1,player,48.45,59.95
24,2.88,7,0,player,55.0,29.0
24,2.88,14,1,player,62.94,43.35
24,2.88,18,0,player,73.36,31.01
